Ntime,Time,Closing Price,Open Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR
20080804,733624,22514.9199,22630.5898,22713.5801,22425.1309,129307.91,30.01528811,15.80281555,437.4687,22125.03282,22478.38964,22723.48925,-225.791,22611.44374,780.1992,3.589644471,-0.0005575679002,-4000.233632,73.5,1.61
20080805,733625,21949.75,22225.0605,22225.0605,21739.2207,194666.6,-19.3743442,-112.052345,775.6992,22121.4713,22428.04301,22665.7162,-737.4609,22549.79374,75.5605,0.3454322273,-0.05121347764,-60404.82489,73.96,1.61
20080807,733627,22104.1992,22403.2598,22424.5391,21915.2793,217220.08,-45.52840093,-92.15036127,509.2598,22121.5555,22397.20074,22562.68104,-586.4004,22432.51366,-428.7012,-1.87895535,-0.0425993329,-118851.5939,74.54,1.61
20080808,733628,21885.2109,21997.6406,22230.5508,21690.5996,173793.46,-82.96978097,-147.3835907,539.9512,22128.50788,22348.43981,22442.43006,-845.8887,22263.33592,-642.2696,-5.400320546,-0.03761975621,-175594.8776,75.84,1.61
20080811,733631,21859.3398,22020.5391,22235.5098,21859.3398,154913.41,-113.4224624,-106.427111,376.17,22152.22174,22301.85885,22354.29295,-1003.2598,22062.68396,-1275.211,-5.320494457,-0.03649065122,-437232.2278,76.27,1.61
20080812,733632,21640.8906,21992.1797,22309.3301,21640.8906,186840.36,-153.4149842,-105.0858464,668.4395,22160.5706,22238.9095,22249.66092,-874.0293,21887.8781,-1446.8301,-4.836349685,-0.02772528529,-393626.9045,76.17,1.61
20080813,733633,21293.3203,21270.8594,21665.75,21223.3809,308308.36,-210.7262433,-153.5344516,442.3691,22136.73444,22148.85338,22153.19295,-656.4297,21756.59216,-1447.3906,-6.143948704,-0.06157965522,-419374.8619,76.26,1.61
20080814,733634,21392.7109,21302.6992,21453.4805,21109.0098,225039.28,-245.2981935,-146.3088975,344.4707,22143.34599,22076.83981,22023.40408,-557.0391,21614.2945,-1294.5,-3.887542007,-0.05887918858,-485605.2821,76.71,1.61
20080815,733635,21160.5801,21383.7109,21383.7109,20994.5391,145046.12,-288.1066148,-141.1398455,398.1718,22118.52944,21989.57698,21866.35213,-943.6191,21469.36834,-1097.4199,-6.742966369,-0.07444558055,-731817.746,77.12,1.61
20080818,733638,20930.6699,21163.0098,21206.5996,20751.1406,131843.4,-336.7031249,-148.2161301,455.459,22084.256,21888.72869,21673.15916,-954.541,21283.63436,-1759.9297,-7.920556998,-0.07036445197,-740787.4105,77.18,1.61
20080819,733639,20484.3691,20675.75,20902.5098,20484.3691,138787.35,-406.542584,-151.0625424,446.3008,22018.8644,21754.98016,21470.10408,-1374.9707,21052.33006,-2246.7305,-10.40227508,-0.06676071026,-627120.4913,76.76,1.61
20080820,733640,20931.2598,20388.7891,20971.1895,20388.7891,183899.44,-420.9777445,-109.3226243,582.4004,21977.20282,21676.5306,21368.25506,-709.6308,20979.91796,-1931.3398,-7.033825157,-0.05306409834,-577003.3376,76.93,1.61
20080821,733641,20392.0605,20762.6504,20762.6504,20350.4805,171151.92,-470.5029256,-118.2109326,580.7793,21947.09862,21554.20011,21197.04119,-901.2598,20779.78788,-2122.8594,-7.096616135,-0.06822645698,-636780.0472,76.08,1.61
20080825,733645,21104.7891,20739.4805,21108.25,20739.4805,191542.64,-447.0870062,-56.10984762,716.1895,21942.53282,21511.39906,21118.99901,-55.791,20768.62968,-844.9609,-4.521358548,-0.03451845787,-371567.037,76.81,1.61
20080826,733646,21056.6602,20849.0801,21173.5605,20785.8008,138290.07,-427.4855342,-45.94157827,387.7597,21916.45357,21468.0906,21038.73105,125.9903,20793.82774,-1047.539,-3.785893149,-0.0269965969,-310522.9133,77.27,1.61
20080827,733647,21464.7207,21104.5605,21464.7207,21104.5605,194572.6,-374.7047908,9.105044308,408.0605,21900.70477,21467.76966,21021.11406,980.3516,20989.89806,-420.4902,-1.805265409,0.007985214548,-164978.0664,77.04,1.61
20080828,733648,20972.2891,21546.9395,21546.9395,20857.0293,218759.92,-368.3645094,-16.03495119,689.9102,21840.68126,21420.58103,20989.01094,41.0293,20998.10392,-887.0507,-3.08952858,-0.01965257241,-576680.7801,77.15,1.61
20080829,733649,21261.8906,21289.6992,21474.3105,21223.9902,204789.72,-336.0970523,31.67241146,502.0214,21792.00472,21405.46766,20975.92891,869.8301,21172.06994,-379,-0.1476035656,0.004764886712,-393924.102,77.32,1.61
20080901,733652,20906.3105,20999.3203,21031.0801,20844.1504,121387.47,-335.3514793,-41.19730678,417.7402,21706.30317,21357.92888,20950.50195,514.25,21132.37422,-387.0098,-2.273673506,-0.001163813682,-447445.1469,77.66,2.69
20080902,733653,21042.4609,20956.9395,21066.5801,20595.5898,161841.05,-320.0846711,-37.682006,470.9903,21627.63933,21327.88431,20961.68105,-62.3282,21129.53436,-350.25,-0.5582039785,0.02652217355,-366982.3376,78.03,2.69
20080903,733654,20585.0605,20964.75,20964.75,20526.7305,166610.22,-340.9635892,-90.88781618,515.7304,21544.7297,21257.13919,20971.75019,-471.5997,20953.60232,-575.5196,-1.651210409,-0.01653982146,-505113.2233,78.09,2.69
20080904,733655,20389.4805,20545.3809,20621.4805,20356.5098,156112.06,-369.0379143,-138.505938,264.9707,21456.35546,21174.50503,20917.57226,-1075.2402,20837.0406,-541.1894,-0.4632244202,-0.0001265198286,-655929.3115,78.94,2.69
20080905,733656,19933.2793,19833.8691,19987.1504,19708.3906,258261.46,-423.2200265,-219.3479271,681.0899,21366.94312,21056.29305,20871.69414,-1039.0098,20571.31834,-551.0898,-4.76789505,-0.05550919246,-436953.5048,78.88,2.69
20080908,733659,20794.2695,20840.6895,20840.6895,20637.9902,303531.1,-392.1644001,-11.38607462,907.4102,21294.00735,21031.33843,20840.64218,-467.6211,20548.91014,-136.9903,1.972380378,-0.01246117369,-603879.3972,79.54,2.69
20080909,733660,20491.1094,20439.4707,20543.1504,20299.9707,194263.4,-387.5476705,-78.94138425,494.2988,21207.85388,20979.88804,20784.0871,-415.2011,20438.63984,99.0489,0.4857228626,-0.04535867546,-510774.7053,79.51,2.69
20080910,733661,19999.7793,20114.8594,20283.9902,19951.3594,269758.4,-418.708501,-128.6372688,539.75,21097.74541,20886.54435,20637.59296,-1042.6816,20321.5836,-1105.0098,-5.235824887,-0.04637118034,-493791.2885,80.21,2.69
20080911,733662,19388.7207,19854.8203,19854.8203,19220.2793,291305.48,-487.0960656,-183.2292813,779.5,20977.50698,20743.89448,20479.23612,-1196.3398,20121.43164,-1667.9395,-7.921196829,-0.08809987481,-580207.0389,79.87,2.69
20080912,733663,19352.9004,19432.7207,19525.5508,19157.7305,244576.5,-537.9825739,-155.0833562,367.8203,20877.62815,20611.41886,20288.3371,-1036.5801,20005.35586,-2111.8203,-9.838564077,-0.0743034071,-597094.7145,78.94,2.69
20080916,733667,18300.6094,18325.6504,18538.5098,18019.1992,521360.12,-655.6635069,-204.7612722,1333.7012,20731.33623,20391.34176,20027.76699,-1632.6699,19506.62384,-2671.6797,-12.73909437,-0.1303008956,-555849.84,79.29,2.69
20080917,733668,17637.1895,18691.3008,18699.1797,17637.1895,439010.72,-793.3141045,-175.6110779,1061.9902,20567.95079,20129.04155,19687.23985,-3157.08,18935.83986,-3624.7011,-17.04787767,-0.1432043884,-893412.1842,78.17,2.69
20080918,733669,17632.4609,17120.2305,17849.9707,16283.7197,623765.92,-892.4966079,-176.2341497,1566.251,20405.37853,19891.27196,19391.97989,-2858.6485,18462.37618,-3273.8496,-15.65962392,-0.1352177462,-705068.3994,78.19,2.69
20080919,733670,19327.7305,18878.2598,19327.7305,18588.1094,669024.88,-824.7976142,-42.2705999,1695.2696,20316.41083,19837.60135,19285.80489,-672.0488,18450.17814,-1714.7304,-8.148906196,-0.03037878469,-357303.0524,76.13,2.69
20080922,733673,19632.1992,19869.0195,19869.0195,19137.6699,373164.44,-738.0695877,-3.012832867,731.3496,20252.52156,19818.03924,19255.69688,243.4785,18506.0379,-952.8613,-4.628897253,-0.05588416078,-394976.5675,76.19,2.69
20080923,733674,18872.8496,19178.4902,19302.7598,18872.8496,254663.56,-722.2841266,-35.41369308,759.3496,20155.60382,19728.02118,19063.55489,-480.0508,18620.48594,-1516.6309,-7.438300843,-0.07897375239,-508770.9329,76.72,2.69
20080924,733675,18961.9902,18954.3203,19291.0195,18862.9004,208446.8,-694.5745109,-25.77252572,428.1191,20071.04267,19655.06585,18910.64297,661.3808,18885.44608,-971.2891,-4.872701001,-0.05189002761,-441514.2636,77,2.69
20080925,733676,18934.4297,19003.2207,19245.4297,18870.1094,168246.64,-667.1478773,-20.22595448,375.3203,19994.2642,19586.43383,18804.10801,1297.2402,19145.83984,-1859.8398,-8.944001615,-0.02343068462,-643642.7274,77.01,2.69
20080926,733677,18682.0898,18909.5898,18936.9395,18500.1094,189543.96,-658.186628,-42.96775668,436.8301,19924.94576,19500.30583,18733.44492,1049.6289,19016.7117,-1809.0196,-8.828314586,-0.03466201893,-588470.748,76.95,2.69
20080929,733680,17880.6797,18742.25,18742.25,17796.3398,257848.36,-707.5951542,-86.57544414,945.9102,19807.61576,19346.05572,18586.22285,248.2188,18666.4078,-2119.0996,-12.73932831,-0.02294621402,-1013073.667,77.71,2.69
20080930,733681,18016.2109,17628.9297,18029.7695,17445.4297,322685.72,-727.4301699,-99.32140654,584.3398,19716.23693,19219.40383,18557.783,383.75,18495.08006,-1372.5098,-12.07791365,0.02103779769,-873239.2582,79.24,2.69
20081002,733683,18211.1094,17870.4297,18285.6797,17631.6992,247619.04,-719.1331632,-64.66590306,653.9805,19604.94155,19123.37579,18615.17499,578.6485,18344.9039,-1141.791,-11.12677677,0.03177447828,-938819.0515,80.56,0.42
20081003,733684,17682.4004,17788.9902,17926.1406,17682.4004,207488.28,-746.6136261,-81.89096103,528.709,19475.16233,18986.14004,18620.16894,49.9395,18094.49804,-618.209,-13.70696406,-0.08512795126,-847342.749,80.61,0.42
20081006,733687,16803.7598,17156.2109,17241.7793,16790.8594,223439.22,-829.726474,-146.8782759,891.541,19295.8946,18778.2943,18367.77187,-2523.9707,17718.83204,-833.4297,-15.98027384,-0.1440714497,-999238.3285,81.61,0.42
20081008,733689,15431.7305,16107.9805,16422.5195,15431.7305,492574.64,-994.837436,-203.2116802,1372.0293,19082.7962,18459.57394,17947.725,-3441.1191,17229.0422,-2200.7304,-20.26140692,-0.1823317185,-1275040.433,81.151,0.42
20081009,733690,15943.2402,15598.2402,15990.2002,15550.8604,338892.32,-1072.056505,-153.3542569,558.4697,18878.23272,18219.92311,17654.76406,-3018.75,16814.44806,-3384.4903,-12.88136995,-0.1592000612,-1038305.49,81.4,0.42
20081010,733691,14796.8701,14717.5195,14910.5498,14398.54,470515.8,-1211.786934,-179.8958163,1544.7002,18643.25424,17893.91806,17238.25205,-4137.5596,16131.6002,-4835.3291,-16.1041497,-0.2185204237,-820962.4364,82.41,0.42
20081013,733694,16312.1602,15156.1602,16376.4199,14754.6396,430506.36,-1186.574962,-93.12180314,1621.7803,18461.3196,17743.27445,16976.0251,-2369.9296,15857.55216,-2560.6894,-7.487898073,-0.1268557011,-422247.419,81.85,0.42
20081014,733695,16832.8809,17141.0508,17141.0508,16618.0996,401811.04,-1111.760797,-29.16421341,828.8906,18317.005,17656.57031,16791.10421,29.1211,15863.37638,-2129.1093,-12.90813528,-0.05859949496,-751130.8014,81.56,0.42
20081015,733696,15998.2998,16609.0898,16609.0898,15961.9199,256171.04,-1107.052341,-56.74612424,870.961,18148.11343,17498.63978,16602.86622,-805.46,15976.69024,-2936.1299,-18.5098947,-0.1120052996,-923390.078,82.29,0.42
20081016,733697,15230.5195,14902.3398,15230.5195,14578.54,441259.04,-1151.994831,-108.3021051,1419.7598,17967.23806,17282.62833,16324.29708,-201.211,15834.1461,-3451.5703,-19.29931185,-0.1636687713,-742529.8282,82.25,0.42
20081017,733698,14554.21,15081.46,15300.0703,14554.21,395075.44,-1228.028652,-103.6867873,745.8603,17727.23577,17022.77896,15958.60714,-1389.0302,15785.61408,-3326.4697,-23.24534584,-0.1769098272,-928481.2046,82.36,0.42
20081020,733701,15323.0098,14691.9004,15472.6797,14691.79,301334.9,-1212.275923,-73.68713866,918.4697,17528.46271,16860.89619,15722.66808,526.1397,15587.784,-2693.2011,-19.07329641,-0.08812015987,-470967.2243,83.08,0.42
20081021,733702,15041.1699,15384.8203,15457.4199,14884.0703,235432.88,-1208.601885,-68.49437954,573.3496,17337.74696,16687.58892,15546.40909,-1270.9903,15229.4418,-3169.9395,-19.4888256,-0.02530893084,-559004.0979,84.729,0.42
20081022,733703,14266.5996,14878.21,15161.6904,14038.4102,310211.58,-1253.739209,-103.396815,1123.2802,17140.7423,16457.01851,15429.896,-2566.2813,14883.10176,-3415.8008,-15.09876498,-0.1051631023,-702770.1488,85.34,0.42
20081023,733704,13760.4902,13596.3096,14032.25,13403.3496,354592.28,-1315.188982,-142.5116148,863.25,16925.6496,16200.20629,15211.621,-2237.8096,14589.0959,-3043.2696,-18.11064688,-0.07004048106,-174446.6646,84.83,0.42
20081024,733705,12618.3799,13478.6299,13478.6299,12618.3799,353891.56,-1439.453996,-182.2912228,1142.1103,16707.10232,15859.07997,14993.77198,-2612.1396,14201.92988,-2813.3506,-18.23094694,-0.226443356,-732336.0938,86.53,0.42
20081027,733708,11015.8398,12372.75,12736.8496,10676.29,483442.32,-1648.246548,-225.4262684,2060.5596,16452.43502,15397.819,14464.13994,-3538.3702,13340.49588,-4927.4004,-30.90589076,-0.3455760861,-1457259.394,87.15,0.42
20081028,733709,12596.29,11154.5703,12596.29,11133.9404,581094.04,-1666.971221,-140.6307766,1580.4502,16258.73614,15131.00671,14040.48085,-2726.7198,12851.5199,-2200.5801,-14.87192957,-0.212648209,-763527.6697,86.15,0.42
20081029,733710,12702.0703,12807.3496,13307.4199,12333.9404,418364.16,-1654.20641,-83.80999323,973.4795,16003.90305,14899.67943,13710.8579,-2339.0996,12538.61404,-3610.0899,-22.13128032,-0.1660120129,-627722.0209,84.48,0.42
20081030,733711,14329.8496,13280.4404,14329.8496,13280.4404,533828.96,-1495.502796,-17.65641245,1627.7793,15799.96653,14845.40993,13620.79091,63.25,12652.48592,-2503.0313,-14.86989253,-0.01541549833,-97627.45653,84.53,0.42
20081031,733712,13968.6699,13845.79,14122.7803,13517.4199,353120.88,-1382.931645,-17.17576865,812.4297,15611.34423,14761.91088,13562.2369,208.1797,12922.54392,-2029.6299,-12.68653498,-0.08838602322,4888.536312,85.59,0.42
20081103,733715,14344.3701,14436.0303,14889.1299,14272.1699,297127.1,-1249.004584,31.80884799,920.46,15433.74346,14722.14509,13464.37293,1725.9902,13588.24998,-886.1494,-5.818248025,-0.04632617041,59459.11829,86.3,0.38
20081104,733716,14384.3398,14337.6201,14539.5898,13853.1602,238790.18,-1126.653839,28.39593888,686.4296,15258.74,14689.97316,13398.68992,3368.5,13945.85994,-169.8702,-1.167155071,0.00818530441,310569.5367,84.74,0.38
20081105,733717,14840.1602,15045.5303,15317.8301,14750.04,345887.28,-981.593891,80.98119145,933.4903,15110.97348,14704.27668,13456.04598,2243.8702,14373.47792,-482.8496,-3.151140711,0.07275325774,-28403.63063,84.57,0.38
20081106,733718,13790.04,14081.7598,14081.7598,13674.0703,273908.36,-940.526952,3.720576934,1166.0899,14953.64118,14617.20652,13459.00096,1087.9697,14265.516,-1251.1299,-8.31803582,0.0849642278,-353389.9373,86.222,0.38
20081107,733719,14243.4297,13273.0898,14254.2197,13273.0898,275032.52,-861.4659047,17.67781215,981.1299,14808.53422,14581.60873,13621.50594,-86.4199,14320.46796,-23.1699,-0.1624066046,0.2266020171,9354.412423,86.09,0.38
20081110,733722,14744.6299,15033.1797,15147.96,14453.6201,280104.98,-749.724431,93.21880312,904.5303,14675.20808,14597.13456,13994.38495,775.96,14400.51992,984.1397,7.151923265,0.1457032095,67596.08184,85.87,0.38
20081111,733723,14040.9004,14322.9502,14853.8301,13926.71,245377.92,-709.7717901,51.81855412,927.1201,14535.15039,14544.15988,14138.84599,-303.4697,14331.83204,1422.5205,11.27340048,0.0953521542,329147.2025,87.04,0.38
20081112,733724,13939.0898,14155.2598,14256.0596,13626.3096,207150,-678.5029394,21.58594932,629.75,14424.97077,14486.53415,14262.54794,-445.25,14151.61796,2923.25,26.53678751,-0.02726893938,-8081.460128,87.43,0.38
20081113,733725,13221.3496,13068.9297,13373.1104,12943.1104,281372.96,-703.5279533,-46.6126551,995.9794,14339.95612,14366.04039,14151.69794,-1618.8106,14037.87988,625.0596,4.962251584,-0.0534997466,18735.45853,86.9,0.38
20081114,733726,13542.6602,13749.5303,13749.5303,13493.8604,218273.92,-689.4854183,-32.45884181,528.1807,14247.62612,14287.62323,14109.09697,-247.3798,13897.72598,840.5899,6.617739315,-0.05589021298,-464740.0515,86.32,0.38
20081117,733729,13529.5303,13584.3496,13738.1201,13277.6396,160462.66,-671.6734479,-68.63226542,460.4805,14198.88228,14215.4239,14027.61299,-713.8994,13654.70606,-800.3193,-5.584980459,-0.05942639787,-247059.5983,86.76,0.38
20081118,733730,12915.8896,13298.8799,13363.5703,12676.2803,248900.44,-699.0151971,-157.4662616,853.25,14068.25649,14091.65873,13880.76797,-1828.7403,13429.7039,-1052.7803,-7.536725454,-0.1296664304,-143987.941,87.11,0.38
20081119,733731,12815.7998,12827.3701,13179.3301,12738.5303,206079.82,-720.4551818,-136.3550184,440.7998,13913.75337,13970.14835,13678.33193,-1225.1006,13205.0459,-1528.5703,-10.65623858,-0.07064810544,-371508.8873,87.46,0.38
20081120,733732,12298.5596,12170.9805,12298.5596,11976.8799,309610.32,-770.3039016,-172.7243063,838.9199,13771.45567,13810.94943,13529.18389,-1640.5302,13020.4879,-2085.7802,-14.50035406,-0.1365450696,30563.00738,88.22,0.38
20081121,733733,12659.2002,11814.8096,13048.5,11814.8096,310604.32,-771.8117237,-115.4289596,1233.6904,13672.55878,13701.25902,13370.76094,-562.1494,12843.7959,-2180.96,-14.69633731,-0.1414365579,-382.7636969,87.65,0.38
20081124,733736,12457.9404,12239.4902,12707.2305,12239.4902,176914.72,-780.2524034,-101.0218508,467.7403,13591.93302,13582.84773,13142.09199,-1084.7198,12629.47792,-1332.0996,-9.659867557,-0.1127392087,223354.4306,85.867,0.38
20081125,733737,12878.5996,13012,13090.8799,12767.4404,246629.18,-744.416847,-47.85073747,632.9395,13497.91725,13515.77648,13025.86191,-650.9307,12622.01992,-1364.8301,-9.582173176,-0.07608030476,290539.7975,84.77,0.38
20081126,733738,13369.4502,12990.3496,13369.4502,12990.3496,239458.72,-668.7010003,-8.270549652,490.8506,13433.62033,13501.84064,12968.89795,453.5606,12732.75,-1375.1797,-9.326647799,0.01107753855,437428.735,85.78,0.38
20081127,733739,13552.0596,13901.4502,13930.9102,13332.9297,277607.2,-587.1918121,36.82127978,597.9805,13406.13803,13506.6234,13001.96895,736.2598,12983.45,-488.8408,-3.481548804,0.0006935772331,629118.7747,85.53,0.38
20081128,733740,13888.2402,13550.29,13896.4902,13550.29,215028.12,-489.8218669,76.41510579,346.2002,13411.05149,13542.96786,13036.52695,1589.6806,13229.258,-50.8496,-0.3647985681,0.02582831913,1157376.95,86.55,0.38
20081201,733743,14108.8398,13775.2803,14253.6602,13659.4404,204164.36,-390.3551682,114.9819781,594.2198,13468.37687,13596.86042,13094.4579,1449.6396,13559.43788,887.4902,6.712553762,0.08455338759,699086.2918,87.05,0.22
20081202,733744,13405.8496,13373.0195,13513.5,13344.5996,196120.76,-364.055917,39.50356323,764.2402,13560.30032,13578.66891,13143.4539,947.9092,13664.88788,-136.8106,-1.010219543,0.04401435326,782452.369,86.57,0.22
20081203,733745,13588.6602,13598.5996,13778.0498,13573.4297,181138.52,-324.7191233,64.87835417,372.2002,13598.46841,13579.62047,13220.73994,710.0606,13708.72988,59.1299,0.4370432579,0.09493949963,239824.6243,86.7,0.22
20081204,733746,13509.7803,13857.29,13883.8701,13459.6104,186263.36,-296.4916089,60.26849652,424.2597,13629.53418,13572.96902,13341.86201,140.3301,13700.27402,593.8907,4.598140108,0.06296032068,15578.20998,86.52,0.22
20081205,733747,13846.0898,13718.9199,13875.1396,13656.9199,175056.6,-244.169105,79.75157681,365.3593,13610.92803,13598.98052,13460.55097,294.0302,13691.84394,1030.29,8.039217342,0.1002556982,161737.7728,86.82,0.22
20081208,733750,15044.8701,14303.25,15044.8701,14303.25,321942.1,-104.7639386,174.7111413,1198.7803,13652.32035,13736.68429,13719.24394,1156.6299,13879.05,2746.3105,22.33034265,0.1439873183,467427.3605,85.51,0.22
20081209,733751,14753.2197,15032.3301,15205.3203,14717.4697,244034.44,-17.61503455,155.4042212,487.8506,13668.04533,13833.49719,13906.70595,644.3799,14148.52402,2094.0195,16.5414834,0.09379440747,452917.4045,85.84,0.22
20081210,733752,15577.7402,14946,15578.96,14946,268420.4,116.6384776,177.9383902,825.7403,13713.94535,13999.61557,14127.53495,2171.8906,14546.34002,3119.7998,25.04266114,0.1300368715,916814.0219,85.45,0.22
20081211,733753,15613.9004,15533.6201,15781.0498,15337.7305,247737.86,223.3782141,154.4872947,443.3193,13743.70458,14153.35698,14333.71903,2025.2402,14967.16404,2735.3008,21.23911671,0.1105207639,689668.8087,83.63,0.22
20081212,733754,14758.3896,15287.7002,15393.0898,14479.2305,291632.08,236.2147163,72.1354828,1134.6699,13780.9488,14210.97914,14420.73397,1248.6093,15149.624,1388.9394,10.3889044,0.04401224101,637158.8807,83.66,0.22
20081215,733757,15046.9502,15363.4902,15386.9004,15007.4199,202142.2,266.5989786,81.22905482,628.5108,13811.85343,14290.59543,14514.54501,1200.8604,15150.04002,1494.8906,11.03072628,0.1090653307,543193.1347,82.13,0.22
20081216,733758,15130.21,15018.46,15217.25,14819.7305,166160.52,294.0079546,62.2731816,397.5195,13826.68344,14370.55872,14686.98105,85.3399,15225.43808,1241.9698,8.94260023,0.1018855522,661010.8669,80.35,0.22
