Ntime,Time,Open Price,Closing Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20110106,734509,10477.52,10529.76,10530.11,10477.52,1660233472,111.0193217,262.5669763,149.34,10258.28038,10285.01674,10376.418,10352.691,237.13,313.35,3.067124362,0.01512190211,36392676.76,80.84,0.13615
20110107,734510,10506.72,10541.04,10550.71,10503.02,1618304512,118.3584776,201.7658223,47.69,10274.24385,10309.39991,10415.718,10369.742,196.5,170.51,1.644178263,0.01845738181,39527228.21,81.14,0.13615
20110111,734514,10484.62,10510.68,10538.39,10476.29,1384972672,120.3378337,135.2455759,64.75,10296.30692,10328.56944,10472.07,10386.162,281.76,164.2,1.587013168,0.02202426484,40213026.41,80.83,0.13615
20110112,734515,10562.28,10512.8,10576.51,10502.96,1707480576,120.6863567,123.0964432,73.55,10316.48962,10346.11521,10495.01,10409.523,114.7,233.61,2.272649888,0.01491610228,34543460.5,80.02,0.13615
20110113,734516,10593.46,10589.76,10620.57,10565.28,1608619392,125.7233322,133.2568401,107.77,10332.69115,10369.31948,10536.808,10432.9,208.99,233.77,2.257340921,0.02805823739,35570898.09,79.16,0.13615
20110114,734517,10502.77,10499.04,10579.97,10497.26,1708740352,121.0000129,72.49344798,92.5,10345.02654,10381.67381,10530.664,10453.541,-30.72,206.41,2.005415525,0.01471563114,36666400.12,79.07,0.13615
20110117,734520,10562.09,10502.86,10562.39,10482.69,1267378176,116.2252184,57.06955408,79.7,10357.93538,10393.21535,10523.028,10469.373,-38.18,158.32,1.530469214,0.02608241946,21788950.1,79.34,0.13615
20110118,734521,10461.04,10518.98,10548.21,10456.71,1263848960,112.4457046,44.47386033,91.5,10372.46923,10405.19294,10524.688,10498.379,-22.06,290.06,2.835685488,0.0114916085,27678514.63,78.97,0.13615
20110119,734522,10567.88,10557.1,10580.68,10534.02,1385769728,111.2440262,70.43146729,61.7,10384.96038,10419.66028,10533.548,10514.279,46.42,328.18,3.208354352,0.01670250353,46172671.9,78.56,0.13615
20110120,734523,10492.32,10437.31,10505.63,10421.83,1329395456,99.47890465,-12.0286112,135.27,10390.78462,10421.3412,10503.058,10519.933,-75.49,39.21,0.3770881219,-0.008779877224,24891202.1,78.83,0.13615
20110121,734524,10459.04,10274.52,10461.07,10257.99,1839041024,76.14145723,-117.3160812,203.08,10393.19115,10407.35823,10458.154,10494.409,-315.24,-106.25,-1.023527156,-0.0252840327,-6265100.01,78.11,0.13615
20110124,734527,10318.6,10345.11,10347.94,10278.81,1340804352,62.62053452,-139.603586,73.42,10395.16115,10401.42983,10426.604,10474.816,-153.93,-184.65,-1.753601222,-0.01575254884,5614933.395,78.04,0.13615
20110125,734528,10374.64,10464.42,10480.24,10355.8,1428862848,60.83120152,-45.56938485,135.13,10400.84,10407.42889,10415.692,10470.19,-38.44,-76.62,-0.7268732497,-0.00460200898,12940823.21,77.93,0.13615
20110126,734529,10410.29,10401.9,10440.35,10392.46,1109796608,53.74871896,-72.07064971,71.96,10404.38308,10406.90233,10384.652,10459.1,-117.08,-139.14,-1.319983607,-0.01773977881,12002734.78,77.7,0.13615
20110127,734530,10466.34,10478.66,10496.4,10421.75,1452973056,53.71054921,-12.81205333,94.5,10410.82038,10413.7364,10392.922,10447.99,-78.44,-32.02,-0.304642516,-0.001941129856,22089864.62,77.72,0.13615
20110128,734531,10460.29,10360.34,10480.08,10332.65,1507409664,43.62992563,-77.40719275,147.43,10412.99385,10408.65102,10410.086,10434.12,-76.97,-152.46,-1.450232098,-0.01356963722,1909786.878,78.15,0.13615
20110131,734534,10219.98,10237.92,10265.96,10182.57,1460456832,25.46909603,-180.2614971,177.77,10413.82115,10392.39093,10388.648,10407.626,-36.6,-351.84,-3.3224549,-0.02671932069,5478344.408,77.75,0.13615
20110201,734535,10281.55,10274.5,10299.38,10245.75,1490132096,13.86834241,-118.1849431,61.46,10410.12769,10381.16322,10350.664,10383.178,-70.61,-224.54,-2.138671726,-0.02676871489,2484866.947,77,0.13615
20110202,734536,10368.48,10457.36,10479.75,10366.96,1805150848,19.20851159,13.98399542,205.25,10414.39231,10388.42006,10361.756,10373.204,112.25,-41.68,-0.3969886771,0.001917309914,10464135.95,77.08,0.13615
20110203,734537,10424.68,10431.36,10450.46,10409.84,1507235968,21.09943034,17.51760699,47.52,10420.245,10392.50957,10352.296,10372.609,86.25,-67.68,-0.6446303662,0.01503543162,18986586.07,77.76,0.13615
20110204,734538,10526.39,10543.52,10580.36,10524.13,2002563072,31.2877065,120.8660228,149,10427.45769,10406.89152,10388.932,10399.509,198.41,44.48,0.423657782,0.01881819354,17132939.05,78.02,0.13615
20110207,734541,10641.3,10592.04,10644.21,10572.72,1622960384,42.7839604,150.9206569,100.69,10438.97346,10424.52471,10459.756,10424.202,246.93,93,0.8857952727,0.01204867051,13526618.95,78.05,0.13615
20110208,734542,10645.03,10635.98,10648.8,10623.7,1504334208,54.80861561,163.8807121,56.76,10450.18269,10444.66331,10532.052,10441.358,290.87,136.94,1.304309727,0.02200831517,2142860.077,77.99,0.13615
20110209,734543,10686.72,10617.83,10701.92,10599.5,1649803648,62.15717892,134.1877838,102.42,10465.14077,10461.15537,10564.146,10462.951,153.41,114.97,1.094654218,0.01310719799,-7469689.756,77.59,0.13615
20110210,734544,10574.8,10605.65,10631.94,10570.62,1455711744,66.23463247,90.31487693,61.32,10473.12346,10474.91677,10599.004,10475.65,203.75,86.67,0.8239392032,0.02313012404,-16637867.72,78.2,0.13615
