Ntime,Matlab_time,Close
20110505,734628,23105
20110506,734629,22970
20110509,734632,23161
20110511,734634,23135
20110512,734635,22865
20110513,734636,23283
20110516,734639,22776
20110517,734640,22786
20110518,734641,22959
20110519,734642,23150
20110520,734643,23145
20110523,734646,22655
20110524,734647,22702
20110525,734648,22744
20110526,734649,22866
20110527,734650,23139
20110530,734653,23198
20110531,734654,23543
20110601,734655,23501
20110602,734656,23168
20110603,734657,22940
20110607,734661,22845
20110608,734662,22560
20110609,734663,22485
20110610,734664,22275
20110613,734667,22420
20110614,734668,22491
20110615,734669,22240
20110616,734670,21941
20110617,734671,21606
20110620,734674,21622
20110621,734675,21834
20110622,734676,21832
20110623,734677,21684
20110624,734678,22148
20110627,734681,21995
20110628,734682,21993
20110629,734683,22117
20110630,734684,22428
20110704,734688,22845
20110705,734689,22786
20110706,734690,22470
20110707,734691,22550
20110708,734692,22809
20110711,734695,22370
20110712,734696,21575
20110713,734697,21880
20110714,734698,21985
20110715,734699,21844
20110718,734702,21791
20110719,734703,21839
20110720,734704,21985
20110721,734705,21959
20110722,734706,22470
20110725,734709,22326
20110726,734710,22540
20110727,734711,22558
20110728,734712,22339
20110729,734713,22325
20110801,734716,22692
20110802,734717,22398
20110803,734718,21939
20110804,734719,21705
20110805,734720,20741
20110808,734723,20390
20110809,734724,19411
20110810,734725,19625
20110811,734726,19411
20110812,734727,19541
20110815,734730,20164
20110816,734731,20117
20110817,734732,20156
20110818,734733,19934
20110819,734734,19309
20110822,734737,19491
20110823,734738,19852
20110824,734739,19415
20110825,734740,19783
20110826,734741,19529
20110829,734744,19845
20110830,734745,20233
20110831,734746,20455
20110901,734747,20401
20110902,734748,20058
20110905,734751,19535
20110906,734752,19690
20110907,734753,19970
20110908,734754,19857
20110909,734755,19723
20110912,734758,18996
20110914,734760,18997
20110915,734761,19197
20110916,734762,19326
20110919,734765,18935
20110920,734766,19006
20110921,734767,18726
20110922,734768,17831
20110923,734769,17762
20110926,734772,17425
20110927,734773,18063
20110928,734774,17954
20110930,734776,17420
20111003,734779,16897
20111004,734780,16257
20111006,734782,17209
20111007,734783,17643
20111010,734786,17734
20111011,734787,17996
20111012,734788,18445
20111013,734789,18612
20111014,734790,18432
20111017,734793,18804
20111018,734794,18139
20111019,734795,18290
20111020,734796,18069
20111021,734797,17957
20111024,734800,18851
20111025,734801,19020
20111026,734802,19032
20111027,734803,19774
20111028,734804,20072
20111031,734807,19785
20111101,734808,19301
20111102,734809,19763
20111103,734810,19292
20111104,734811,19892
20111107,734814,19596
20111108,734815,19797
20111109,734816,19935
20111110,734817,19033
20111111,734818,19071
20111114,734821,19506
20111115,734822,19295
20111116,734823,18888
20111117,734824,18873
20111118,734825,18439
20111121,734828,18110
20111122,734829,18170
20111123,734830,17803
20111124,734831,17868
20111125,734832,17645
20111128,734835,18020
20111129,734836,18206
20111130,734837,18082
20111201,734838,18923
20111202,734839,19194
20111205,734842,19101
20111206,734843,19024
20111207,734844,19189
20111208,734845,19100
20111209,734846,18544
20111212,734849,18489
20111213,734850,18439
20111214,734851,18258
20111215,734852,17960
20111216,734853,18260
20111219,734856,18069
20111220,734857,17979
20111221,734858,18390
20111222,734859,18415
20111223,734860,18590
20111228,734865,18440
20111229,734866,18365
20111230,734867,18456
20120103,734871,18810
20120104,734872,18771
20120105,734873,18808
20120106,734874,18649
20120109,734877,18920
20120110,734878,19007
20120111,734879,19168
20120112,734880,19115
20120113,734881,19274
20120116,734884,19020
20120117,734885,19020
20120118,734886,19598
20120119,734887,19965
20120120,734888,20185
20120126,734894,20414
20120127,734895,20594
20120130,734898,20343
20120131,734899,20357
20120201,734900,20378
20120202,734901,20772
20120203,734902,20755
20120206,734905,20661
20120207,734906,20781
20120208,734907,21123
20120209,734908,20954
20120210,734909,20795
20120213,734912,20898
20120214,734913,20966
20120215,734914,21416
20120216,734915,21222
20120217,734916,21444
20120220,734919,21363
20120221,734920,21428
20120222,734921,21494
20120223,734922,21387
20120224,734923,21416
20120227,734926,21205
20120228,734927,21403
20120229,734928,21650
20120301,734929,21317
20120302,734930,21534
20120305,734933,21155
20120306,734934,20691
20120307,734935,20569
20120308,734936,20837
20120309,734937,21057
20120312,734940,21124
20120313,734941,21281
20120314,734942,21283
20120315,734943,21314
20120316,734944,21340
20120319,734947,20999
20120320,734948,20888
20120321,734949,20909
20120322,734950,20875
20120323,734951,20614
20120326,734954,20729
20120327,734955,21154
20120328,734956,20902
20120329,734957,20615
20120330,734958,20500
20120402,734961,20460
20120403,734962,20778
20120405,734964,20507
20120410,734969,20308
20120411,734970,20086
20120412,734971,20383
20120413,734972,20714
20120416,734975,20579
20120417,734976,20549
20120418,734977,20769
20120419,734978,21019
20120420,734979,20997
20120423,734982,20567
20120424,734983,20626
20120425,734984,20710
20120426,734985,20858
20120427,734986,20845
20120430,734989,20940
20120502,734991,21183
20120503,734992,21091
20120504,734993,20890
20120507,734996,20309
20120508,734997,20271
20120509,734998,20134
20120510,734999,19923
20120511,735000,19744
20120514,735003,19518
20120515,735004,19635
20120516,735005,19162
20120517,735006,19005
20120518,735007,18813
20120521,735010,18809
20120522,735011,18864
20120523,735012,18586
20120524,735013,18513
20120525,735014,18550
20120528,735017,18687
20120529,735018,18963
20120530,735019,18695
20120531,735020,18530
20120601,735021,18420
20120604,735024,17944
20120605,735025,18109
20120606,735026,18495
20120607,735027,18495
20120608,735028,18355
20120611,735031,18965
20120612,735032,18756
20120613,735033,18933
20120614,735034,18933
20120615,735035,19330
20120618,735038,19459
20120619,735039,19364
20120620,735040,19572
20120621,735041,19272
20120622,735042,19027
20120625,735045,18961
20120626,735046,19029
20120627,735047,19160
20120628,735048,19180
20120629,735049,19449
20120703,735053,19755
20120704,735054,19750
20120705,735055,19882
20120706,735056,19821
20120709,735059,19433
20120710,735060,19426
20120711,735061,19395
20120712,735062,19031
20120713,735063,19030
20120716,735066,19087
20120717,735067,19488
20120718,735068,19209
20120719,735069,19566
20120720,735070,19670
20120723,735073,18988
20120724,735074,18850
20120725,735075,18850
20120726,735076,18825
20120727,735077,19245
20120730,735080,19547
20120731,735081,19714
20120801,735082,19792
20120802,735083,19630
20120803,735084,19655
20120806,735087,19959
20120807,735088,20013
20120808,735089,20050
20120809,735090,20192
20120810,735091,20164
20120813,735094,20035
20120814,735095,20251
20120815,735096,20077
20120816,735097,19922
20120817,735098,20115
20120820,735101,20085
20120821,735102,20135
20120822,735103,19858
20120823,735104,20125
20120824,735105,19863
20120827,735108,19833
20120828,735109,19791
20120829,735110,19760
20120830,735111,19558
20120831,735112,19369
20120903,735115,19420
20120904,735116,19319
20120905,735117,19067
20120906,735118,19153
20120907,735119,19868
20120910,735122,19821
20120911,735123,19858
20120912,735124,20057
20120913,735125,20042
20120914,735126,20646
20120917,735129,20714
20120918,735130,20633
20120919,735131,20884
20120920,735132,20635
20120921,735133,20715
20120924,735136,20738
20120925,735137,20742
20120926,735138,20540
20120927,735139,20689
20120928,735140,20875
20121003,735145,20875
20121004,735146,20871
20121005,735147,20971
20121008,735150,20782
20121009,735151,20942
20121010,735152,20914
20121011,735153,20964
20121012,735154,21096
20121015,735157,21106
20121016,735158,21197
20121017,735159,21393
20121018,735160,21545
20121019,735161,21558
20121022,735164,21681
20121024,735166,21760
20121025,735167,21846
20121026,735168,21530
20121029,735171,21525
20121030,735172,21440
20121031,735173,21674
20121101,735174,21858
