Date,Ntime,close price
20120117,734885,4977.5
20120118,734886,4950.75
20120119,734887,5025.25
20120120,734888,5055.5
20120123,734891,5076
20120124,734892,5132.5
20120125,734893,5178
20120127,734895,5214.25
20120130,734898,5099
20120131,734899,5225.25
20120201,734900,5264.75
20120202,734901,5274
20120203,734902,5340
20120206,734905,5360.5
20120207,734906,5361.25
20120208,734907,5389.5
20120209,734908,5438.75
20120210,734909,5377
20120213,734912,5415.25
20120214,734913,5454
20120215,734914,5554
20120216,734915,5531
20120217,734916,5594.5
20120221,734920,5652.25
20120222,734921,5562.25
20120223,734922,5529.5
20120224,734923,5485
20120227,734926,5317
20120228,734927,5442.25
20120229,734928,5433
20120301,734929,5382.5
20120302,734930,5396
20120303,734931,5396.5
20120305,734933,5321.25
20120306,734934,5227
20120307,734935,5259.25
20120309,734937,5370.5
20120312,734940,5379.75
20120313,734941,5469.5
20120314,734942,5510.25
20120315,734943,5408.5
20120316,734944,5333.5
20120319,734947,5273.25
20120320,734948,5286.5
20120321,734949,5402.75
20120322,734950,5236.25
20120323,734951,5291
20120326,734954,5238
20120327,734955,5300.75
20120328,734956,5255.25
20120329,734957,5231.5
20120330,734958,5328.75
20120402,734961,5359.5
20120403,734962,5382
20120404,734963,5340.5
20120409,734968,5245.5
20120410,734969,5257.75
20120411,734970,5259
20120412,734971,5281.75
20120413,734972,5216
20120416,734975,5259.75
20120417,734976,5322
20120418,734977,5312.25
20120419,734978,5367.75
20120420,734979,5302
20120423,734982,5198.6
20120424,734983,5224.35
20120425,734984,5198.6
20120426,734985,5189
20120427,734986,5210.8
20120428,734987,5232.2
20120430,734989,5267.85
20120502,734991,5246.95
20120503,734992,5199.8
20120504,734993,5097.95
20120507,734996,5125.95
20120508,734997,5005.6
20120509,734998,4983.95
20120510,734999,4966.8
20120511,735000,4931.35
20120514,735003,4888.25
20120515,735004,4942.25
20120516,735005,4856.9
20120517,735006,4852.3
20120518,735007,4888.95
20120521,735010,4893.9
20120522,735011,4841.2
20120523,735012,4814.55
20120524,735013,4913.1
20120525,735014,4918.85
20120528,735017,4975.4
20120529,735018,4981.65
20120530,735019,4933.05
20120531,735020,4924.25
20120601,735021,4824.55
20120604,735024,4840.5
20120605,735025,4846.3
20120606,735026,4978.6
20120607,735027,5029.35
20120608,735028,5059.4
20120611,735031,5052.6
