Ntime,Time,Close Price
20121010,735152,8590
20121011,735153,8550
20121012,735154,8560
20121015,735157,8590
20121016,735158,8710
20121017,735159,8810
20121018,735160,8980
20121019,735161,8990
20121022,735164,9020
20121023,735165,9000
20121024,735166,8970
20121025,735167,9070
20121026,735168,8930
20121029,735171,8920
20121030,735172,8850
20121031,735173,8920
20121101,735174,8950
20121102,735175,9060
20121105,735178,9020
20121106,735179,8980
20121107,735180,8960
20121108,735181,8840
20121109,735182,8760
20121112,735185,8690
20121113,735186,8670
20121114,735187,8670
20121115,735188,8820
20121116,735189,9010
20121119,735192,9130
20121120,735193,9120
20121121,735194,9220
20121122,735195,9360
20121126,735199,9400
20121127,735200,9430
20121128,735201,9300
20121129,735202,9410
20121130,735203,9450
20121203,735206,9460
20121204,735207,9430
20121205,735208,9480
20121206,735209,9540
20121207,735210,9560
20121210,735213,9540
20121211,735214,9520
20121212,735215,9580
20121213,735216,9760
20121214,735217,9760
20121217,735220,9820
20121218,735221,9940
20121219,735222,10180
20121220,735223,10030
20121221,735224,9960
20121225,735228,10070
20121226,735229,10240
20121227,735230,10370
20121228,735231,10390
20130104,735238,10680
20130107,735241,10620
20130108,735242,10480
20130109,735243,10570
20130110,735244,10660
20130111,735245,10830
20130115,735249,10890
20130116,735250,10580
20130117,735251,10630
20130118,735252,10920
20130121,735255,10710
20130122,735256,10700
20130123,735257,10470
20130124,735258,10630
20130125,735259,10930
20130128,735262,10810
20130129,735263,10890
20130130,735264,11100
20130131,735265,11110
20130201,735266,11170
20130204,735269,11270
20130205,735270,11080
20130206,735271,11430
20130207,735272,11390
20130208,735273,11170
20130212,735277,11370
20130213,735278,11260
20130214,735279,11330
20130215,735280,11170
20130218,735283,11410
20130219,735284,11370
20130220,735285,11440
20130221,735286,11320
20130222,735287,11410
20130225,735290,11650
20130226,735291,11410
20130227,735292,11260
20130228,735293,11500
20130301,735294,11570
20130304,735297,11650
20130305,735298,11690
20130306,735299,11930
20130307,735300,11970
20130308,735301,12220
20130311,735304,12290
20130312,735305,12260
20130313,735306,12200
20130314,735307,12330
20130315,735308,12490
20130318,735311,12170
20130319,735312,12420
20130321,735314,12570
20130322,735315,12320
20130325,735318,12510
20130326,735319,12370
20130327,735320,12520
20130328,735321,12400
20130329,735322,12400
20130401,735325,12180
20130402,735326,12030
20130403,735327,12360
20130404,735328,12720
20130405,735329,12810
20130408,735332,13210
20130409,735333,13190
20130410,735334,13290
20130411,735335,13490
20130412,735336,13500
20130415,735339,13340
20130416,735340,13310
20130417,735341,13400
20130418,735342,13270
20130419,735343,13370
20130422,735346,13560
20130423,735347,13540
20130424,735348,13830
20130425,735349,13920
20130426,735350,13950
20130430,735354,13880
20130501,735355,13800
20130502,735356,13710
20130507,735361,14160
20130508,735362,14260
20130509,735363,14230
20130510,735364,14660
20130513,735367,14820
20130514,735368,14800
20130515,735369,15090
20130516,735370,15070
20130517,735371,15190
20130520,735374,15390
20130521,735375,15400
20130522,735376,15670
20130523,735377,14590
20130524,735378,14610
20130527,735381,14030
20130528,735382,14360
20130529,735383,14200
20130530,735384,13610
20130531,735385,13700
20130603,735388,13240
20130604,735389,13650
20130605,735390,12940
20130606,735391,12820
20130607,735392,12680
20130610,735395,13620
20130611,735396,13380
20130612,735397,13280
20130613,735398,12450
20130614,735399,12770
20130617,735402,13060
20130618,735403,13000
20130619,735404,13260
20130620,735405,13030
20130621,735406,13370
20130624,735409,13010
20130625,735410,12940
20130626,735411,12780
20130627,735412,13270
20130628,735413,13680
20130701,735416,13870
20130702,735417,14130
20130703,735418,14020
20130704,735419,13990
20130705,735420,14340
20130708,735423,14100
20130709,735424,14460
20130710,735425,14430
20130711,735426,14470
20130712,735427,14470
20130716,735431,14600
20130717,735432,14600
20130718,735433,14800
20130719,735434,14650
20130722,735437,14690
20130723,735438,14780
20130724,735439,14730
20130725,735440,14520
20130726,735441,14130
20130729,735444,13600
20130730,735445,13890
20130731,735446,13600
20130801,735447,14050
20130802,735448,14480
20130805,735451,14230
20130806,735452,14400
20130807,735453,13860
20130808,735454,13620
20130809,735455,13670
20130812,735458,13510
20130813,735459,13850
20130814,735460,14010
20130815,735461,13790
20130816,735462,13670
20130819,735465,13770
20130820,735466,13410
20130821,735467,13400
20130822,735468,13350
20130823,735469,13700
20130826,735472,13650
20130827,735473,13540
20130828,735474,13360
20130829,735475,13460
20130830,735476,13350
20130902,735479,13570
20130903,735480,13990
20130904,735481,14100
20130905,735482,14000
20130906,735483,13850
20130909,735486,14220
20130910,735487,14400
20130911,735488,14440
20130912,735489,14330
20130913,735490,14320
20130917,735494,14280
20130918,735495,14430
20130919,735496,14680
20130920,735497,14680
20130924,735501,14680
20130925,735502,14560
20130926,735503,14830
20130927,735504,14740
20130930,735507,14460
20131001,735508,14510
20131002,735509,14190
20131003,735510,14140
20131004,735511,14040
20131007,735514,13860
20131008,735515,13930
20131009,735516,14070
20131010,735517,14200
20131011,735518,14410
20131015,735522,14460
20131016,735523,14470
20131017,735524,14590
20131018,735525,14590
20131021,735528,14710
20131022,735529,14710
20131023,735530,14430
20131024,735531,14480
20131025,735532,14120
20131028,735535,14370
20131029,735536,14340
20131030,735537,14540
20131031,735538,14350
20131101,735539,14190
20131105,735543,14200
20131106,735544,14350
20131107,735545,14250
20131108,735546,14090
20131111,735549,14280
20131112,735550,14550
20131113,735551,14600
20131114,735552,14820
20131115,735553,15170
20131118,735556,15180
20131119,735557,15150
20131120,735558,15100
20131121,735559,15420
20131122,735560,15430
20131125,735563,15610
20131126,735564,15520
20131127,735565,15480
20131128,735566,15700
20131129,735567,15740
20131202,735570,15690
20131203,735571,15730
20131204,735572,15470
20131205,735573,15160
20131206,735574,15310
20131209,735577,15650
20131210,735578,15590
20131211,735579,15520
20131212,735580,15370
20131213,735581,15480
20131216,735584,15220
20131217,735585,15290
20131218,735586,15590
20131219,735587,15760
20131220,735588,15870
20131224,735592,15900
20131225,735593,16110
20131226,735594,16240
20131227,735595,16200
20131230,735598,16290
20140106,735605,15900
20140107,735606,15780
20140108,735607,16110
20140109,735608,15910
20140110,735609,15920
20140114,735613,15420
20140115,735614,15780
20140116,735615,15720
20140117,735616,15750
20140120,735619,15670
20140121,735620,15790
20140122,735621,15830
20140123,735622,15700
20140124,735623,15440
20140127,735626,14940
20140128,735627,15000
20140129,735628,15380
20140130,735629,14990
20140131,735630,14850
20140203,735633,14560
20140204,735634,13920
20140205,735635,14180
20140206,735636,14150
20140207,735637,14500
20140210,735640,14730
20140212,735642,14770
20140213,735643,14500
20140214,735644,14330
20140217,735647,14410
20140218,735648,14840
20140219,735649,14770
20140220,735650,14420
20140221,735651,14830
20140224,735654,14840
20140225,735655,15000
20140226,735656,15000
20140227,735657,14960
20140228,735658,14860
20140303,735661,14630
20140304,735662,14840
20140305,735663,14880
20140306,735664,15120
20140307,735665,15290
20140310,735668,15160
20140311,735669,15210
20140312,735670,14830
20140313,735671,14750
20140314,735672,14220
20140317,735675,14270
20140318,735676,14340
20140319,735677,14420
20140320,735678,14130
20140324,735682,14400
20140325,735683,14260
20140326,735684,14390
20140327,735685,14640
20140328,735686,14700
20140331,735689,14830
20140401,735690,14760
20140402,735691,14970
20140403,735692,15080
20140404,735693,15080
20140407,735696,14810
20140408,735697,14590
20140409,735698,14380
20140410,735699,14290
20140411,735700,14060
20140414,735703,13950
20140415,735704,14030
20140416,735705,14420
20140417,735706,14380
20140418,735707,14520
20140421,735710,14530
20140422,735711,14350
20140423,735712,14550
20140424,735713,14420
20140425,735714,14460
20140428,735717,14310
20140430,735719,14220
20140501,735720,14490
20140502,735721,14480
20140507,735726,14070
20140508,735727,14140
20140509,735728,14210
20140512,735731,14170
20140513,735732,14430
20140514,735733,14410
20140515,735734,14300
20140516,735735,14130
20140519,735738,14030
20140520,735739,14060
20140521,735740,14040
20140522,735741,14310
20140523,735742,14420
20140526,735745,14580
20140527,735746,14610
20140528,735747,14680
20140529,735748,14690
20140530,735749,14650
20140602,735752,14940
20140603,735753,15030
20140604,735754,15040
20140605,735755,15060
20140606,735756,15090
20140609,735759,15130
20140610,735760,14970
20140611,735761,15060
20140612,735762,15000
20140613,735763,15140
20140616,735766,14920
20140617,735767,14990
20140618,735768,15120
20140619,735769,15340
20140620,735770,15380
20140623,735773,15350
20140624,735774,15400
20140625,735775,15260
20140626,735776,15320
20140627,735777,15120
20140630,735780,15160
20140701,735781,15310
20140702,735782,15380
20140703,735783,15320
20140704,735784,15440
20140707,735787,15380
20140708,735788,15340
20140709,735789,15300
20140710,735790,15250
20140711,735791,15170
20140714,735794,15320
20140715,735795,15400
20140716,735796,15380
20140717,735797,15370
20140718,735798,15210
20140722,735802,15330
20140723,735803,15330
20140724,735804,15300
20140725,735805,15450
20140728,735808,15510
20140729,735809,15640
20140730,735810,15630
20140731,735811,15650
20140801,735812,15580
20140804,735815,15460
20140805,735816,15340
20140806,735817,15140
20140807,735818,15190
20140808,735819,14760
20140811,735822,15130
20140812,735823,15150
20140813,735824,15220
20140814,735825,15290
20140815,735826,15320
20140818,735829,15330
20140819,735830,15430
20140820,735831,15420
20140821,735832,15550
20140822,735833,15550
20140825,735836,15620
20140826,735837,15530
20140827,735838,15520
20140828,735839,15470
20140829,735840,15420
20140901,735843,15480
20140902,735844,15670
20140903,735845,15700
20140904,735846,15660
20140905,735847,15690
20140908,735850,15720
20140909,735851,15750
20140910,735852,15800
20140911,735853,15910
20140912,735854,15880
20140916,735858,15860
20140917,735859,15800
20140918,735860,16000
20140919,735861,16220
20140922,735864,16160
20140924,735866,16100
20140925,735867,16280
20140926,735868,16270
20140929,735871,16310
20140930,735872,16180
20141001,735873,16110
20141002,735874,15710
20141003,735875,15760
20141006,735878,15940
20141007,735879,15820
20141008,735880,15620
20141009,735881,15500
20141010,735882,15340
20141014,735886,14900
20141015,735887,15070
20141016,735888,14720
20141017,735889,14530
20141020,735892,15120
20141021,735893,14780
20141022,735894,15160
20141023,735895,15140
20141024,735896,15330
20141027,735899,15400
20141028,735900,15330
20141029,735901,15570
20141030,735902,15670
20141031,735903,16490
20141104,735907,16710
20141105,735908,16990
20141106,735909,16820
20141107,735910,16940
20141110,735913,16790
20141111,735914,17090
20141112,735915,17160
20141113,735916,17420
20141114,735917,17450
20141117,735920,17040
20141118,735921,17360
20141119,735922,17370
20141120,735923,17320
20141121,735924,17380
20141125,735928,17430
20141126,735929,17380
20141127,735930,17250
20141128,735931,17450
20141201,735934,17570
20141202,735935,17690
20141203,735936,17750
20141204,735937,17880
20141205,735938,17940
20141208,735941,17970
20141209,735942,17790
20141210,735943,17470
20141211,735944,17210
20141212,735945,17380
20141215,735948,17020
20141216,735949,16730
20141217,735950,16810
20141218,735951,17260
20141219,735952,17670
20141222,735955,17600
20141224,735957,17790
20141225,735958,17750
20141226,735959,17860
20141229,735962,17720
20141230,735963,17450
20150105,735969,17380
20150106,735970,16900
