Close Price,Volume,EMA20,WVAD,US Dollar Index,Federal Fund Rate
870.26,472505.0,893.736551,-6153851.72,83.2,0.1
871.79,501747.0,891.6464033,-15569489.59,84.25,0.1
842.62,540788.0,886.9772220000001,-18555768.11,84.28,0.15
843.74,780735.04,882.8593912999999,-21105454.89,84.62,0.18
850.12,678604.0,879.7413541000001,-9780272.37,84.04,0.19
805.22,637523.0,872.6440822000001,-27494139.93,86.13,0.2
840.24,646783.0,869.5579792000001,-9336173.811,85.46,0.23
827.5,584383.0,865.5524572999999,-28430561.49,85.56,0.21
831.95,583216.0,862.3522232999999,-22655378.23,85.58,0.18
836.57,603994.0,859.8967735,-13469858.22,84.48,0.19
845.71,535326.0,858.5456522,-8429497.815,84.52,0.18
874.09,619918.0,860.0260662999999,8645390.074,84.49,0.19
845.14,506706.0,858.6083457000001,574605.6663,85.38,0.23
825.88,535058.0,855.4913604000001,-9950811.298,85.84,0.23
825.44,567327.0,852.629326,-10059361.36,85.95,0.24
838.51,588631.0,851.2846283,-1044416.938,84.88,0.24
832.23,642045.0,849.4699017999999,-11196162.66,85.7,0.24
845.85,662403.0,849.1251492999999,-10368115.34,86.09,0.23
868.6,648410.0,850.979897,-5023311.929,85.29,0.23
869.89,557437.0,852.7808592,-2585006.624,84.88,0.22
827.16,677016.96,850.3407773,-19307006.72,85.58,0.24
833.74,592646.0,848.7597509,-5671884.557,85.71,0.22
835.19,647646.0,847.4673937000001,-6173087.966,86.1,0.23
826.84,529665.0,845.5028800000001,-3225212.108,86.11,0.22
789.17,590782.0,840.1378437999999,-8847935.239,87.76,0.25
788.42,574071.0,835.2123349,-12496364.89,88.14,0.23
778.94,574694.0,829.8530649,-8000748.582,87.5,0.21
770.05,821059.04,824.1575349,-13283811.44,86.62,0.2
743.33,650930.0,816.4596744,-28378354.83,87.33,0.19
773.14,723448.96,812.3339912,1437201.001,86.89,0.21
764.9,748364.0,807.8164682,-15651348.91,87.86,0.21
752.83,759996.96,802.5796617000001,-15649221.65,87.8,0.22
735.09,892648.0,796.1520749,-37366183.14,88.15,0.22
700.82,786828.96,787.0728296,-55587449.66,88.91,0.22
696.33,758323.04,778.4306554,-68330146.02,89.07,0.2
712.87,767362.0,772.1867834,-71590805.05,88.48,0.21
682.55,750724.96,763.6499468999999,-73643668.64,89.1,0.2
683.38,733183.04,756.0051901,-64960863.09,88.59,0.2
676.53,727732.0,748.4361244,-69133873.19,89.17,0.2
719.6,861832.96,745.6898267999999,-57803841.43,88.62,0.2
721.36,728780.96,743.3727004,-53141995.3,87.63,0.19
750.74,732663.04,744.0743480000001,-47973323.35,87.36,0.18
756.55,678708.96,745.2625052999999,-56228061.49,87.26,0.15
753.89,788354.0,746.0841715,-61488788.28,87.0,0.2
778.12,615680.0,749.1352028,-35781510.99,86.88,0.2
794.35,909844.96,753.441374,-31167299.05,84.1,0.18
784.04,903387.04,756.3555288,-44684435.23,83.07,0.17
768.54,764372.0,757.5159546,-55460906.6,83.71,0.18
822.92,771576.96,763.7449113,-25305715.7,83.47,0.17
806.12,676798.0,767.7806341,-33848498.91,84.1,0.17
813.88,768718.0,772.1710499,-25074377.05,83.77,0.17
832.86,699296.0,777.9509499,-5417622.642999999,84.12,0.16
815.94,560021.0,781.5689547000001,-3331092.848,85.14,0.15
787.53,591266.0,782.1366732999999,-27903025.93,85.67,0.16
797.87,608910.0,783.6350852999999,-19304183.45,85.6,0.16
811.08,603414.0,786.2488867000001,-5297938.579,85.47,0.16
834.38,754280.96,790.8328022999999,22785994.89,84.3,0.16
842.5,585564.0,795.7534877999999,44997720.51,84.17,0.13
835.48,621000.0,799.5369651000001,49119780.1,84.73,0.14
815.55,515558.0,801.0620161,30030184.67,85.23,0.14
825.16,593846.0,803.3570622000001,51525469.76,85.2,0.14
856.56,760071.04,808.4240086,66969494.92,85.66,0.14
858.73,643489.0,813.2150554,71824496.03,84.59,0.13
841.5,756984.0,815.9088597,38665590.79,84.78,0.16
852.06,624110.0,819.3518253999999,46499241.46,84.95,0.16
865.3,659867.0,823.727842,40402305.01,85.19,0.15
869.6,735200.96,828.096619,41483726.39,85.88,0.13
832.39,697396.0,828.5055123999999,28530633.01,86.67,0.14
