Date,Ntime,Open Price,High Price,Low price,Closing Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20121105,735178,5693.05,5709.2,5679.5,5704.2,74829213,21.34,65.66,29.7,5676.18,5663.421338,5652.91,5670.83,39.9,43.95,0.776467471,-0.002265115,158478027,80.71,8.09
20121106,735179,5694.1,5730.8,5693.65,5724.4,115018796,24,116.09,37.15,5678.6,5669.228829,5678.21,5671.555,58.8,5.7,0.099673003,0.005764796,192527259.1,80.6,8.1
20121107,735180,5718.6,5777.3,5711.4,5760.1,133740615,28.65,190.7,65.9,5681.37,5677.883227,5706.29,5678.425,162.2,75.85,1.334388882,0.009513724,255405651.3,80.76,8.08
20121108,735181,5709,5744.5,5693.95,5738.75,117590261,30.27,113.48,66.15,5685.7,5683.680062,5725.03,5681.77,119.05,21.6,0.377810622,0.012973208,214071699.6,80.8,8.09
20121109,735182,5731.1,5751.7,5677.75,5686.25,98763127,27.01,55.92,73.95,5684.61,5683.924818,5722.74,5683.965,41.2,-5.15,-0.090487402,0.003631567,172930813.6,81.03,8.09
20121112,735185,5688.45,5718.9,5665.75,5683.7,92702799,23.94,15.06,53.15,5685,5683.903407,5718.64,5685.775,-14,-21.6,-0.378595341,0.0150958,290680972.8,81.06,8.09
20121113,735186,5689.7,5698.25,5660.35,5666.95,16516842,19.93,-20.99,37.9,5683.98,5682.288797,5707.15,5692.68,-37.25,2.65,0.046784245,0.008337818,289111661.8,81.1,8.09
20121115,735188,5650.35,5651.65,5603.55,5631,133979470,13.69,-123.78,63.4,5683.13,5677.404149,5681.33,5693.81,-93.4,-34.6,-0.610703191,-0.002488906,296039657.3,81.03,8.1
20121116,735189,5624.8,5650.15,5559.8,5574.05,121900570,4.1,-172.41,90.35,5678.82,5667.560897,5648.39,5686.71,-186.05,-23.85,-0.426052627,-0.021701739,149064347.6,81.2,8.09
20121119,735192,5577.3,5592.75,5549.25,5571.4,106988015,-3.67,-178.36,43.5,5671.46,5658.402716,5625.42,5674.08,-167.35,-48.3,-0.859476485,-0.023281091,145748058,80.85,8.11
20121120,735193,5604.8,5613.7,5548.35,5571.55,107481297,-9.7,-138.62,65.35,5665.82,5650.131029,5602.99,5660.815,-114.7,-73.5,-1.302025669,-0.026701488,62503317.27,80.89,8.1
20121121,735194,5582.5,5620.2,5561.4,5614.8,105148728,-10.87,-92.13,58.8,5660.7,5646.766169,5592.56,5649.855,-68.9,-82.9,-1.454973059,-0.025225257,206528184.6,80.92,8.12
20121122,735195,5628.6,5643.35,5608,5627.75,94058612,-10.63,-46.17,35.35,5657.52,5644.955106,5591.91,5636.62,-39.2,-76.45,-1.340240525,-0.019342191,255502707.7,80.69,8.1
20121123,735196,5635.45,5637.75,5593.55,5626.6,85082220,-10.41,-50.7,44.2,5653.59,5643.207,5602.42,5625.405,-4.4,-97.8,-1.708475997,-0.010490218,151547665.8,80.2,8.1
20121126,735199,5648.65,5649.2,5623.45,5635.9,79291426,-9.37,-23.62,25.75,5652.17,5642.511095,5615.32,5620.37,61.85,-124.2,-2.156212566,-0.008410015,158074225.6,80.18,8.1
20121127,735200,5658.5,5733.2,5658,5727.45,134407735,-1.16,73.05,97.3,5655.26,5650.600515,5646.5,5624.745,156.05,-11.3,-0.196906992,0.010563165,200648138.7,80.36,8.1
20121129,735202,5736.7,5833.5,5736.1,5825,207295475,13.08,169.36,106.05,5666.62,5667.20999,5688.54,5640.55,253.45,138.75,2.440096725,0.033304721,438802591.4,80.18,8.1
20121130,735203,5836,5885.25,5827.85,5879.85,257047977,28.46,211.65,60.25,5679.62,5687.461419,5738.96,5665.435,265.05,196.15,3.451096997,0.052008129,556119369.2,80.23,8.09
20121203,735206,5878.25,5899.15,5854.6,5870.95,113423350,39.47,188.97,44.55,5690.92,5704.936522,5787.83,5695.125,243.2,204,3.599820009,0.051022407,572827296.3,79.9,8.1
20121204,735207,5866.8,5894.95,5859,5889.25,131020191,49.11,163.59,35.95,5700.5,5722.490187,5838.5,5726.91,262.65,258.25,4.586219144,0.053945749,653943153.9,79.66,8.1
20121205,735208,5906.6,5917.8,5891.35,5900.5,139653957,57,152.66,28.55,5710.31,5739.443502,5873.11,5759.805,264.6,326.45,5.856603367,0.048419625,689934369.1,79.84,8.1
20121206,735209,5926.3,5942.55,5838.9,5930.9,140267080,64.96,129.06,103.65,5720.64,5757.677454,5894.29,5791.415,203.45,359.5,6.452597193,0.051113659,633955606.5,80.23,8.1
20121207,735210,5934,5949.85,5888.65,5907.4,127607078,68.58,118.86,61.2,5728,5771.936744,5899.8,5819.38,82.4,335.85,6.027945545,0.047533602,499407718.4,80.41,8.1
20121210,735213,5916.05,5919.95,5888.1,5908.9,95975757,70.75,97.39,31.85,5736.51,5784.980864,5907.39,5847.61,29.05,294.1,5.23794258,0.046201493,472642320,80.32,8.1
20121211,735214,5923.8,5965.15,5865.45,5898.8,137415161,70.84,87.69,99.7,5747.13,5795.820782,5909.3,5873.9,27.85,271.05,4.816312025,0.029048281,410092709.6,80.05,8.1
20121212,735215,5917.8,5924.6,5874.25,5888,132665649,69.25,71.96,50.35,5757.35,5804.599755,5906.8,5889.955,-1.25,261.4,4.645789642,0.010699728,237762862.2,79.86,8.07
20121213,735216,5900.35,5907.45,5841.35,5851.5,136616335,64.29,52.11,66.1,5766.58,5809.066445,5890.92,5892.605,-49,215.6,3.825475967,-0.004821552,52576963.5,79.92,8.08
20121214,735217,5846.9,5886.1,5839.15,5879.6,115159830,61.92,48.25,46.95,5779.01,5815.783926,5885.36,5892.58,-51.3,152.15,2.656505076,0.001471189,63579178.61,79.57,8.1
20121217,735220,5860.5,5886.05,5850.15,5857.9,109547002,57.63,42.2,35.9,5793.2,5819.794981,5875.16,5891.275,-49.5,32.9,0.564806867,-0.005323258,115544347.5,79.57,8.1
20121218,735221,5873.6,5905.8,5823.15,5896.8,148907334,56.71,44.05,82.65,5809.47,5827.128792,5874.76,5892.03,-12.1,16.95,0.28827266,-0.000627066,165627719.5,79.33,8.12
20121219,735222,5917.3,5939.4,5910.8,5929.6,149439204,57.96,73.6,42.6,5827.37,5836.887955,5883.08,5894.94,30.8,58.65,0.998986535,-0.000219191,239811490.7,79.35,8.13
20121220,735223,5934.45,5937.6,5881.45,5916.4,123911218,57.23,61.61,56.15,5842.45,5844.460531,5896.06,5893.49,28.4,27.15,0.461009466,0.001521195,253877130.2,79.24,8.15
20121221,735224,5888,5888,5841.65,5847.7,141152911,50.52,10.25,74.75,5853.45,5844.769052,5889.68,5887.52,-3.8,-52.8,-0.89483942,-0.010357258,199620805.8,79.58,8.16
20121224,735227,5869,5871.9,5844.7,5855.75,85336999,45.33,-5.61,27.2,5864.91,5845.814856,5889.25,5882.205,-23.85,-75.15,-1.267092684,-0.007298095,172561410.8,79.66,8.15
20121226,735229,5864.95,5917.3,5859.55,5905.6,83871326,44.73,43.35,61.55,5878.39,5851.508679,5891.01,5882.885,47.7,-1.8,-0.030470258,0.002980222,286284462.7,79.6,8.15
20121227,735230,5930.2,5930.8,5864.7,5870.1,139613235,40.91,15.86,66.1,5885.53,5853.279281,5879.11,5881.095,-26.7,-38.8,-0.656636599,0.0031686,101583868,79.65,8.15
20121228,735231,5887.15,5915.75,5879.5,5908.35,89669021,40.51,46.48,45.65,5889.69,5858.524112,5877.5,5886.78,-21.25,9.55,0.161897335,0.004865995,156286449,79.68,8.16
20121231,735234,5901.2,5919,5897.15,5905.1,64809641,39.47,61.75,21.85,5890.96,5862.959911,5888.98,5889.33,-11.3,17.1,0.290421196,0.007993091,184889995.9,79.76,8.23
20130101,735235,5937.65,5963.9,5935.2,5950.85,77902745,41.86,192.15,58.8,5894.95,5871.330395,5908,5898.625,103.15,99.35,1.697855251,0.009082736,259980633,79.76,8.24
20130102,735236,5982.6,6006.05,5982,5993.25,116057389,46.63,272.72,55.2,5900.15,5882.941786,5925.53,5908.27,137.5,113.65,1.932954623,0.010620281,188137150.5,79.82,8.12
20130103,735237,6015.8,6017,5986.55,6009.5,99989933,51.14,236.98,30.45,5905.6,5894.994949,5953.41,5916.26,103.9,151.6,2.587958142,0.015492137,-20478455.17,80.43,8.13
20130104,735238,6011.95,6020.75,5981.55,6016.15,113232990,54.62,189.82,39.2,5909.86,5906.533526,5974.97,5926.235,146.05,119.35,2.023979107,0.027999634,-204714882.1,80.5,8.1
20130107,735241,6042.15,6042.15,5977.15,5988.4,110248018,54.5,148.07,65,5913.91,5914.330333,5991.63,5940.305,80.05,58.8,0.991635186,0.022151159,-277295868,80.22,8.1
20130108,735242,5983.45,6007.05,5964.4,6001.7,109937502,54.86,108.74,42.65,5918.55,5922.651253,6001.8,5954.9,96.6,85.3,1.441755121,0.01601213,-312072728.1,80.34,8.08
20130109,735243,6006.2,6020.1,5958.45,5971.5,129635568,52.1,84.9,61.65,5922.19,5927.303515,5997.45,5961.49,20.65,123.8,2.117071669,0.016980658,-352831204.3,80.54,8.08
20130110,735244,5998.8,6005.15,5947.3,5968.65,129767384,49.12,63.86,57.85,5926.22,5931.241276,5989.28,5971.345,-24.6,112.9,1.928019468,0.010102787,-426687850.1,79.75,8.1
20130111,735245,6012.4,6018.85,5940.6,5951.3,128022002,44.84,52.56,78.25,5931.21,5933.15163,5976.31,5975.64,-58.2,45.7,0.773841777,0.00776301,-471188148.8,79.55,8.09
20130114,735248,5967.2,6036.9,5962.15,6024.05,134711348,46.78,92.63,85.6,5938.43,5941.808618,5983.44,5987.535,7.9,153.95,2.622612903,0.012151294,-347189859.8,79.49,8.1
20130115,735249,6037.85,6068.5,6018.6,6056.6,138364003,50.36,131.84,49.9,5948.37,5952.74113,5994.42,5998.11,68.2,148.25,2.509160764,0.010459664,-260742216,79.73,8.1
20130116,735250,6049,6055.95,5992.05,6001.85,128985952,48.23,83.26,64.55,5953.62,5957.418166,6000.49,5998.97,0.15,96.75,1.638414252,-0.001272984,-277398203.2,79.79,8.1
20130117,735251,6001.25,6053.2,5988.1,6039.2,178954867,48.98,88.11,65.1,5959.1,5965.206912,6014.6,6001.94,67.7,88.35,1.484661855,0.003816731,-72112775.36,79.67,8.1
20130118,735252,6059.85,6083.4,6048.3,6064.4,186460701,51.03,127.13,44.2,5966.5,5974.653873,6037.22,6006.765,95.75,71.15,1.187168898,0.012532155,-128149109.7,80.05,8.09
20130121,735255,6085.75,6094.35,6065.1,6082.3,130866385,53.48,140.39,29.95,5978.23,5984.905885,6048.87,6016.155,131,72.8,1.211415259,0.013251566,-135650865.9,80.04,8.09
20130122,735256,6080.15,6101.3,6040.5,6048.5,129041713,52.09,112.79,60.8,5987.87,5990.962467,6047.25,6020.835,24.45,32.35,0.537719306,0.012730429,-244623268,79.85,8.09
20130123,735257,6052.85,6069.8,6021.15,6054.3,136989190,50.87,84.71,48.65,5995.3,5996.994613,6057.74,6029.115,-2.3,65.9,1.100460891,0.01414697,-304809650.5,79.91,8.1
20130124,735258,6046.2,6065.3,6007.85,6019.35,185210189,46.55,50.64,57.45,6002.76,5999.123698,6053.77,6034.185,17.5,17.65,0.294083343,0.011305207,-351537479.6,79.97,8.1
20130125,735259,6024.5,6080.55,6014.45,6074.65,147587200,47.05,90.11,66.1,6011.08,6006.316679,6055.82,6046.52,35.45,103.15,1.727371682,0.008329698,-116834806.2,79.75,8.094
20130128,735262,6082.1,6088.4,6061.4,6074.8,113113004,46.91,115.86,27,6019.56,6012.8389,6054.32,6051.595,10.4,106.15,1.778459116,0.002995983,-105846797.9,79.79,8.1
20130129,735263,6064.7,6111.8,6042.45,6049.9,157553752,44.28,92.25,69.35,6024.52,6016.368528,6054.6,6050.925,-32.4,98.6,1.656780871,0.00794228,-198507081.2,79.53,8.1
20130130,735264,6065,6071.95,6044.15,6055.75,124222858,42.19,62.2,27.8,6027.64,6020.119145,6054.89,6056.315,7.25,31.7,0.526224052,0.00273294,-112899902.3,79.26,7.85
20130131,735265,6045.65,6058.05,6025.15,6034.75,168516750,38.39,19.72,32.9,6028.9,6021.51256,6057.97,6055.87,-19.55,-21.85,-0.360763465,-0.004889189,-221171596.8,79.24,7.85
20130201,735266,6040.95,6052.95,5983.2,5998.9,159271140,32.11,-43.45,69.75,6028.04,6019.358982,6042.82,6049.32,-20.45,-2.95,-0.049151512,-0.013711918,-328758825.7,79.21,7.85
20130204,735269,6025.2,6038.5,5981.25,5987.25,141741868,25.9,-64.62,57.25,6027.98,6016.300984,6025.31,6039.815,-87.4,-51.95,-0.860213273,-0.010126478,-458546806.2,79.57,7.85
20130205,735270,5948.2,5970.35,5946.9,5956.9,136227506,18.32,-151.99,40.35,6025.74,6010.643748,6006.71,6030.655,-117.9,-107.5,-1.772640327,-0.016087739,-459399507.8,79.52,7.81
