'Ntime', 'time', 'Close_Price', 'Open_Price', 'High_Price', 'Low_Price', 'Volume', 'MACD', 'CCI', 'ATR', 'BOLL', 'EMA20', 'MA10', 'MTM6', 'MA5', 'MTM12', 'ROC', 'SMI', 'WVAD', 'US_Dollar_Index', 'Federal_Fund_Rate' 
20111227.0000,734864.0000,1258.9225,1260.7425,1265.7200,1254.5375,225763.7500,7.7780 ,93.3797,11.2100,1229.5866,1240.1145,1240.2085,22.8300,1257.3170,20.9875,2.1752 ,0.0323 ,21634070.3925,80.2200,0.0625 
20111228.0000,734865.0000,1258.9225,1260.7425,1265.7200,1254.5375,225763.7500,7.7780 ,93.3797,11.2100,1229.5866,1240.1145,1240.2085,22.8300,1257.3170,20.9875,2.1752 ,0.0323 ,21634070.3925,80.2200,0.0625 
20111229.0000,734866.0000,1258.9225,1260.7425,1265.7200,1254.5375,225763.7500,7.7780 ,93.3797,11.2100,1229.5866,1240.1145,1240.2085,22.8300,1257.3170,20.9875,2.1752 ,0.0323 ,21634070.3925,80.2200,0.0625 
20111230.0000,734867.0000,1258.9225,1260.7425,1265.7200,1254.5375,225763.7500,7.7780 ,93.3797,11.2100,1229.5866,1240.1145,1240.2085,22.8300,1257.3170,20.9875,2.1752 ,0.0323 ,21634070.3925,80.2200,0.0625 
20120103.0000,734871.0000,1278.3075,1273.5300,1282.0600,1266.3900,387726.7500,11.7365,101.1660,15.9850,1243.6189,1250.3714,1260.4815,15.7850,1268.2120,65.1625,5.3730 ,0.0330 ,16423324.4725,80.4775,0.0700 
20120104.0000,734872.0000,1278.3075,1273.5300,1282.0600,1266.3900,387726.7500,11.7365,101.1660,15.9850,1243.6189,1250.3714,1260.4815,15.7850,1268.2120,65.1625,5.3730 ,0.0330 ,16423324.4725,80.4775,0.0700 
20120105.0000,734873.0000,1278.3075,1273.5300,1282.0600,1266.3900,387726.7500,11.7365,101.1660,15.9850,1243.6189,1250.3714,1260.4815,15.7850,1268.2120,65.1625,5.3730 ,0.0330 ,16423324.4725,80.4775,0.0700 
20120106.0000,734874.0000,1278.3075,1273.5300,1282.0600,1266.3900,387726.7500,11.7365,101.1660,15.9850,1243.6189,1250.3714,1260.4815,15.7850,1268.2120,65.1625,5.3730 ,0.0330 ,16423324.4725,80.4775,0.0700 
20120109.0000,734877.0000,1290.1900,1285.7750,1292.2675,1281.6250,389539.2500,14.7667,118.1795,10.6600,1252.8092,1261.7853,1274.0003,28.3000,1283.2790,39.1025,3.1288 ,0.0227 ,13874180.5525,80.9950,0.0800 
20120110.0000,734878.0000,1290.1900,1285.7750,1292.2675,1281.6250,389539.2500,14.7667,118.1795,10.6600,1252.8092,1261.7853,1274.0003,28.3000,1283.2790,39.1025,3.1288 ,0.0227 ,13874180.5525,80.9950,0.0800 
20120111.0000,734879.0000,1290.1900,1285.7750,1292.2675,1281.6250,389539.2500,14.7667,118.1795,10.6600,1252.8092,1261.7853,1274.0003,28.3000,1283.2790,39.1025,3.1288 ,0.0227 ,13874180.5525,80.9950,0.0800 
20120112.0000,734880.0000,1290.1900,1285.7750,1292.2675,1281.6250,389539.2500,14.7667,118.1795,10.6600,1252.8092,1261.7853,1274.0003,28.3000,1283.2790,39.1025,3.1288 ,0.0227 ,13874180.5525,80.9950,0.0800 
20120113.0000,734881.0000,1301.3250,1296.6900,1305.3550,1291.7150,406622.7500,16.5125,122.3502,14.1000,1259.4084,1273.1092,1287.2523,14.7450,1294.6125,42.4025,3.3725 ,0.0216 ,23030386.3425,80.7750,0.0925 
20120117.0000,734885.0000,1301.3250,1296.6900,1305.3550,1291.7150,406622.7500,16.5125,122.3502,14.1000,1259.4084,1273.1092,1287.2523,14.7450,1294.6125,42.4025,3.3725 ,0.0216 ,23030386.3425,80.7750,0.0925 
20120118.0000,734886.0000,1301.3250,1296.6900,1305.3550,1291.7150,406622.7500,16.5125,122.3502,14.1000,1259.4084,1273.1092,1287.2523,14.7450,1294.6125,42.4025,3.3725 ,0.0216 ,23030386.3425,80.7750,0.0925 
20120119.0000,734887.0000,1301.3250,1296.6900,1305.3550,1291.7150,406622.7500,16.5125,122.3502,14.1000,1259.4084,1273.1092,1287.2523,14.7450,1294.6125,42.4025,3.3725 ,0.0216 ,23030386.3425,80.7750,0.0925 
20120120.0000,734888.0000,1318.0200,1315.0350,1320.4800,1308.1925,394700.0000,19.0655,123.4339,12.2975,1271.5274,1286.6087,1301.3360,22.5200,1311.1710,39.7125,3.1880 ,0.0245 ,39501906.9975,79.8025,0.0875 
20120123.0000,734891.0000,1318.0200,1315.0350,1320.4800,1308.1925,394700.0000,19.0655,123.4339,12.2975,1271.5274,1286.6087,1301.3360,22.5200,1311.1710,39.7125,3.1880 ,0.0245 ,39501906.9975,79.8025,0.0875 
20120124.0000,734892.0000,1318.0200,1315.0350,1320.4800,1308.1925,394700.0000,19.0655,123.4339,12.2975,1271.5274,1286.6087,1301.3360,22.5200,1311.1710,39.7125,3.1880 ,0.0245 ,39501906.9975,79.8025,0.0875 
20120125.0000,734893.0000,1318.0200,1315.0350,1320.4800,1308.1925,394700.0000,19.0655,123.4339,12.2975,1271.5274,1286.6087,1301.3360,22.5200,1311.1710,39.7125,3.1880 ,0.0245 ,39501906.9975,79.8025,0.0875 
